category,title,price,original_price,sale_price,discount,availability,variant,product_id,product_url,image_url,brand
kids,Graphic Denim Shirt,"Rs. 3,290","Rs. 3,290","Rs. 3,290",Pay 631 now (BaadMay),Available,bts0089,8.80251E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bts0089,https://beoneshopone.com/cdn/shop/files/BTS00892_6ff38f6b-b643-4a2a-a300-5e6fb5ef3732.jpg?v=1739255747&width=1080,One
kids,Button Down Polo,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,btp0064,8.80251E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btp0064,https://beoneshopone.com/cdn/shop/files/BTP0064_d04e22a4-a375-4f42-8944-2320774541ea.jpg?v=1740138589&width=1080,One
kids,Cargo Jogger Jeans,"Rs. 4,290","Rs. 4,290","Rs. 4,290",Pay 822 now (BaadMay),Coming Soon,bbj0036,8.80251E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbj0036,https://beoneshopone.com/cdn/shop/files/BBJ00361.jpg?v=1739447145&width=1080,One
kids,Sequined Tee,"Rs. 2,490","Rs. 2,490","Rs. 2,490",Pay 477 now (BaadMay),Available,gtt0107,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtt0107,https://beoneshopone.com/cdn/shop/files/GTT0107-MLT1.jpg?v=1738839865&width=1080,One
kids,Disney Tee,"Rs. 2,690","Rs. 2,690","Rs. 2,690",Pay 516 now (BaadMay),Available,gtt0106,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtt0106,https://beoneshopone.com/cdn/shop/files/GTT0106-YLO1.jpg?v=1738839849&width=1080,One
kids,Basic Track Pants,"Rs. 2,590","Rs. 2,590","Rs. 2,590",Pay 496 now (BaadMay),Available,gbt0054,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbt0054,https://beoneshopone.com/cdn/shop/files/GBT0054-YLO3.jpg?v=1738839746&width=1080,One
kids,Text Printed Tee,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,btt0147,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0147,https://beoneshopone.com/cdn/shop/files/BTT0147-ORG1.jpg?v=1738839676&width=1080,One
kids,Panel Tee,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,btt0146,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0146,https://beoneshopone.com/cdn/shop/files/BTT0146-BKN3.jpg?v=1738839661&width=1080,One
kids,Printed Track Pants,"Rs. 3,190","Rs. 3,190","Rs. 3,190",Pay 611 now (BaadMay),Available,bbs0037,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0037,https://beoneshopone.com/cdn/shop/files/BBS0037-ORG3.jpg?v=1738839296&width=1080,One
kids,Panel Shorts,"Rs. 3,790","Rs. 3,790","Rs. 3,790",Pay 726 now (BaadMay),Available,bbs0036,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbs0036,https://beoneshopone.com/cdn/shop/files/BBS0036-BKN3.jpg?v=1738839285&width=1080,One
kids,5-Pocket Pants,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,bbp0034,8.77244E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/bbp0034,https://beoneshopone.com/cdn/shop/files/BBP0034-NVY1.jpg?v=1739204607&width=1080,One
kids,Printed Trapeze Dress,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gtd0108,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0108,https://beoneshopone.com/cdn/shop/files/GTD0108-MLT1.jpg?v=1738839826&width=1080,One
kids,Printed Frock,"Rs. 2,590","Rs. 2,590","Rs. 2,590",Pay 496 now (BaadMay),Available,gtd0093,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0093,https://beoneshopone.com/cdn/shop/files/GTD0093-WHT1.jpg?v=1738853526&width=1080,One
kids,Polo Pleated Dress,"Rs. 2,390","Rs. 2,390","Rs. 2,390",Pay 516 now (BaadMay),Available,gtd0090,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gtd0090,https://beoneshopone.com/cdn/shop/files/GTD0090-PNK1.jpg?v=1738839761&width=1080,One
kids,Pleated Wide Leg Jeans,"Rs. 3,490","Rs. 3,490","Rs. 3,490",Pay 669 now (BaadMay),Available,gbj0056,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0056,https://beoneshopone.com/cdn/shop/files/GBJ0056-BLU1.jpg?v=1747649015&width=1080,One
kids,Basic Skinny,"Rs. 2,990","Rs. 2,990","Rs. 2,990",Pay 573 now (BaadMay),Available,gbj0047,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/gbj0047,https://beoneshopone.com/cdn/shop/files/GBJ0047-BLK.jpg?v=1741081987&width=1080,One
kids,Spongebob Tee,"Rs. 2,290","Rs. 2,290","Rs. 2,290",Pay 439 now (BaadMay),Available,btt0136,8.77024E+12,https://beoneshopone.com/collections/kids-new-arrivals/products/btt0136,https://beoneshopone.com/cdn/shop/files/BTT0136-blu3.jpg?v=1738839649&width=1080,One
