category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
men,Raised Text T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/raised-text-t-shirt-rte519,https://www.cougar.com.pk/cdn/shop/files/1_ad62fc03-76a4-48f5-a6c6-dd31db658a06.webp?v=1756489598&width=533,Cougar
men,Patch Pocket T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/patch-pocket-t-shirt-rte521,https://www.cougar.com.pk/cdn/shop/files/2_2a6075f8-2ff6-48c9-862a-a4ad7331b38c.webp?v=1756489596&width=533,Cougar
men,Graphic Relaxed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/graphic-relaxed-t-shirt-rte525,https://www.cougar.com.pk/cdn/shop/files/2_798b5c64-bca9-4c68-b12f-c9a12a40a7cc.webp?v=1756489589&width=533,Cougar
men,Unfolding Dreams Relaxed T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/unfolding-dreams-relaxed-t-shirt-rte526,https://www.cougar.com.pk/cdn/shop/files/2_698fc1c4-b45a-4265-8d6f-99dce47ec6e1.webp?v=1756489588&width=533,Cougar
men,Mini-Ottoman Graphic T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/mini-ottoman-graphic-t-shirt-rte530,https://www.cougar.com.pk/cdn/shop/files/1_8aca51f9-9d89-4e2c-8744-673279362416.webp?v=1756489586&width=533,Cougar
men,Relaxed Cotton T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",Sold out,,https://www.cougar.com.pk/products/relaxed-cotton-t-shirt-rte533,https://www.cougar.com.pk/cdn/shop/files/2_e7c453df-1d84-4734-bde1-afc8fddd0ac6.webp?v=1756489584&width=533,Cougar
men,Patch Pocket Shirt,"Rs.1,999","Rs.3,999","Rs.1,999",-50%,,https://www.cougar.com.pk/products/patch-pocket-shirt-se2511,https://www.cougar.com.pk/cdn/shop/files/1_eddf7e03-9780-4293-84d0-df7a693c8840.webp?v=1756489582&width=533,Cougar
men,Jacquard Check Shirt,"Rs.1,999","Rs.3,999","Rs.1,999",-50%,,https://www.cougar.com.pk/products/jacquard-check-shirt-se2522,https://www.cougar.com.pk/cdn/shop/files/1_43051e90-4006-4a33-b2a0-363c84f18a39.webp?v=1756489580&width=533,Cougar
men,Jacquard Check Shirt,"Rs.1,999","Rs.3,999","Rs.1,999",-50%,,https://www.cougar.com.pk/products/jacquard-check-shirt-se2550,https://www.cougar.com.pk/cdn/shop/files/1_2c69cade-e455-425b-8bba-a075d7758948.webp?v=1756489577&width=533,Cougar
men,Gingham Check Shirt,"Rs.1,999","Rs.3,999","Rs.1,999",-50%,,https://www.cougar.com.pk/products/gingham-check-shirt-se2551,https://www.cougar.com.pk/cdn/shop/files/1_f7300b06-db5e-4598-9b4f-529b913f67eb.webp?v=1756489575&width=533,Cougar
men,Double Patch Pocket Shirt,"Rs.1,999","Rs.3,999","Rs.1,999",-50%,,https://www.cougar.com.pk/products/double-patch-pocket-shirt-se2561,https://www.cougar.com.pk/cdn/shop/files/1_65b9b60c-8763-4f07-854e-9fb130e439a9.webp?v=1756489572&width=533,Cougar
men,Basic Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/basic-shirt-se2564,https://www.cougar.com.pk/cdn/shop/files/1_1825d91c-71b7-45ba-9c64-3b832d4f6ea3.webp?v=1756489568&width=533,Cougar
men,Basic Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/basic-shirt-se2565,https://www.cougar.com.pk/cdn/shop/files/1_2201c731-287d-4021-b51b-24de9071deac.webp?v=1756489566&width=533,Cougar
men,Basic Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/basic-shirt-se2566,https://www.cougar.com.pk/cdn/shop/files/5_2757a25a-a68d-421d-81cd-7eda56c3733b.webp?v=1756489564&width=533,Cougar
men,Basic Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/basic-shirt-se2567,https://www.cougar.com.pk/cdn/shop/files/5_ad47dc55-e988-4fdd-8c8f-3abb183e888d.webp?v=1756548383&width=533,Cougar
men,Flap Pockets Denim Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/flap-pockets-denim-shirt-se2568,https://www.cougar.com.pk/cdn/shop/files/1_438c611d-1067-412e-9c66-3e26762c5a62.webp?v=1756489560&width=533,Cougar
men,Patch Pocket Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/patch-pocket-shirt-se2569,https://www.cougar.com.pk/cdn/shop/files/1_8de9d424-67e2-4022-b1e5-cf7620c5c731.webp?v=1756489558&width=533,Cougar
men,Patch Pocket Shirt,"Rs.2,749","Rs.5,499","Rs.2,749",-50%,,https://www.cougar.com.pk/products/patch-pocket-shirt-se2570,https://www.cougar.com.pk/cdn/shop/files/1_c26fee1b-2ab0-4589-9656-b1d3a2a6fe04.webp?v=1756489556&width=533,Cougar
men,Relaxed Fit Seersucker Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/relaxed-fit-seersucker-shirt-se2571,https://www.cougar.com.pk/cdn/shop/files/2_8c80de3e-c337-434f-9657-4aae0b103f21.webp?v=1756489554&width=533,Cougar
men,Relaxed Fit Seersucker Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/relaxed-fit-seersucker-shirt-se2572,https://www.cougar.com.pk/cdn/shop/files/1_63577634-473a-45d2-87fa-a53cfa62f0c9.webp?v=1756489552&width=533,Cougar
men,Textured Resort Collar Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/textured-resort-collar-shirt-se2573,https://www.cougar.com.pk/cdn/shop/files/1_baddd9bc-49c7-41bd-8a1e-e81a6c13124d.webp?v=1756548353&width=533,Cougar
men,Textured Resort Collar Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/textured-resort-collar-shirt-se2574,https://www.cougar.com.pk/cdn/shop/files/5_39e0b5ff-9322-4ec7-bcc8-fc30e782cd8b.webp?v=1756489546&width=533,Cougar
men,Muslin Resort Collar Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/muslin-resort-collar-shirt-se2575,https://www.cougar.com.pk/cdn/shop/files/2_bb2d1796-d673-4645-9696-ea3567062221.webp?v=1756548341&width=533,Cougar
men,Muslin Resort Collar Shirt,"Rs.2,499","Rs.4,999","Rs.2,499",-50%,,https://www.cougar.com.pk/products/muslin-resort-collar-shirt-se2576,https://www.cougar.com.pk/cdn/shop/files/3_b726098c-15e9-4c4a-a46b-1beb750559b0.webp?v=1756489540&width=533,Cougar
men,Safari Relaxed Shirt,"Rs.2,249","Rs.4,499","Rs.2,249",-50%,,https://www.cougar.com.pk/products/safari-relaxed-shirt-se2577,https://www.cougar.com.pk/cdn/shop/files/3_8566363f-082f-4325-b5a6-fd83881850dc.webp?v=1756489538&width=533,Cougar
men,Basic Shirt,"Rs.2,749","Rs.5,499","Rs.2,749",Sold out,,https://www.cougar.com.pk/products/basic-shirt-se2586,https://www.cougar.com.pk/cdn/shop/files/1_d2b0f2d1-b3c5-45c0-a1eb-5f66406f34da.webp?v=1756489536&width=533,Cougar
men,Pique T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/pique-t-shirt-te2503,https://www.cougar.com.pk/cdn/shop/files/3_82f1298c-8585-4417-af5c-444cd081216e.webp?v=1756489534&width=533,Cougar
men,Mini Ottoman Knit T-Shirt,"Rs.1,499","Rs.2,999","Rs.1,499",-50%,,https://www.cougar.com.pk/products/mini-ottoman-knit-t-shirt-te2505,https://www.cougar.com.pk/cdn/shop/files/1_38b75d5b-78e0-4aa2-930a-a35304f1ee77.webp?v=1756489532&width=533,Cougar
men,Relaxed Fit T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/relaxed-fit-t-shirt-te2588,https://www.cougar.com.pk/cdn/shop/files/5_e3f02788-ced1-4095-b939-a0887910b3b5.webp?v=1756489522&width=533,Cougar
men,Embroidered Badge T-Shirt,"Rs.1,349","Rs.2,699","Rs.1,349",-50%,,https://www.cougar.com.pk/products/embroidered-badge-t-shirt-te2589,https://www.cougar.com.pk/cdn/shop/files/1_e39f2db0-81d4-4612-bf44-c2f40fdb587e.webp?v=1756489520&width=533,Cougar
