category,title,price,original_price,sale_price,discount,variant,product_url,image_url,brand
women,Ripple Crinkle Printed Co-Ord Set IPST-44946,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-ipst-44946,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IPST-44948,"Rs.4,893","Rs.6,990","Rs.4,893",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-ipst-44948,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IPST-44947,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-ipst-44947,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IPST-44945,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-ipst-44945,N/A,GulAhmed
women,Cambric Printed Co-Ord Set IPST-44818,"Rs.4,193","Rs.5,990","Rs.4,193",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/cambric-printed-co-ord-set-ipst-44818,N/A,GulAhmed
women,Cambric Printed Co-Ord Set IPST-44824,"Rs.4,943","Rs.6,590","Rs.4,943",-25%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/cambric-printed-co-ord-set-ipst-44824,N/A,GulAhmed
women,Cambric Printed Co-Ord Set IPST-44801,"Rs.4,193","Rs.5,990","Rs.4,193",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/cambric-printed-co-ord-set-ipst-44801,N/A,GulAhmed
women,Cambric Printed Co-Ord Set IPST-44805,"Rs.4,193","Rs.5,990","Rs.4,193",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/cambric-printed-co-ord-set-ipst-44805,N/A,GulAhmed
women,Cotton Verticle Printed Co-Ord Set IPST-44469,"Rs.4,893","Rs.6,990","Rs.4,893",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/cotton-verticle-printed-co-ord-set-ipst-44469,https://www.gulahmedshop.com/cdn/shop/files/cotton_verticle_printed_co-ord_set_ipst-44469_2_165x.jpg?v=1758379230,GulAhmed
women,Viscose Jacquard Printed Co-Ord Set With Embroidered IPST-44580,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/viscose-jacquard-printed-co-ord-set-with-embroidered-ipst-44580,https://www.gulahmedshop.com/cdn/shop/files/viscose_jacquard_printed_co-ord_set_with_embroidered_ipst-44580_4_165x.jpg?v=1758379221,GulAhmed
women,Viscose Jacquard Printed Co-Ord Set IPST-44578,"Rs.5,593","Rs.7,990","Rs.5,593",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/viscose-jacquard-printed-co-ord-set-ipst-44578,https://www.gulahmedshop.com/cdn/shop/files/viscose_jacquard_printed_co-ord_set_ipst-44578_3_165x.jpg?v=1758379231,GulAhmed
women,3Pc Lawn Printed Suit IUSTKSD-996,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-996,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_printed_suit_iustksd-996_front_165x.jpg?v=1758379219,GulAhmed
women,Denier Jacquard Embroidered Shirt And Trouser IPST-44444,"Rs.8,243","Rs.10,990","Rs.8,243",-25%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/denier-jacquard-embroidered-shirt-and-trouser-ipst-44444,https://www.gulahmedshop.com/cdn/shop/files/denier_jacquard_embroidered_shirt_and_trouser_ipst-44444_5_165x.jpg?v=1758379214,GulAhmed
women,3Pc Lawn Printed Suit IUSTKSD-1044,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-1044,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_printed_suit_iustksd-1044_front_165x.jpg?v=1758379220,GulAhmed
women,3Pc Lawn Printed Suit IUSTKSD-1061,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-1061,N/A,GulAhmed
women,3Pc Lawn Lacquer Printed With Embroidered Suit IUSTKSD-1040,"Rs.7,693","Rs.10,990","Rs.7,693",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-lacquer-printed-with-embroidered-suit-iustksd-1040,N/A,GulAhmed
women,Textured Dobby Printed Co-Ord Set IPST-44800,"Rs.3,493","Rs.4,990","Rs.3,493",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/textured-dobby-printed-co-ord-set-ipst-44800,N/A,GulAhmed
women,3Pc Lawn Lacquer Printed Suit IUSTKSD-1021,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-lacquer-printed-suit-iustksd-1021,N/A,GulAhmed
women,Lawn Embroidered Shirt And Trouser IUSTTS-946,"Rs.8,393","Rs.11,990","Rs.8,393",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-embroidered-shirt-and-trouser-iustts-946,N/A,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-966,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-966,N/A,GulAhmed
women,3Pc Lawn Printed Suit IUSTKSD-874,"Rs.5,990",,"Rs.5,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-874,N/A,GulAhmed
women,3Pc Chiffon Embroidered Suit IUSTKSD-769,"Rs.10,995","Rs.21,990","Rs.10,995",-50%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-chiffon-embroidered-suit-iustksd-769,N/A,GulAhmed
women,3Pc Lawn Embroidered Suit IUSTKSD-868,"Rs.8,393","Rs.11,990","Rs.8,393",-30%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-embroidered-suit-iustksd-868,N/A,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-964,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-964,N/A,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-972,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-972,https://www.gulahmedshop.com/cdn/shop/files/iustts-972_4_165x.jpg?v=1758379202,GulAhmed
women,3Pc Lawn Printed Suit IUSTKSD-873,"Rs.7,794","Rs.12,990","Rs.7,794",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-873,https://www.gulahmedshop.com/cdn/shop/files/3pc_lawn_printed_suit_iustksd-873_front_165x.jpg?v=1758379203,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-1015,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-1015,https://www.gulahmedshop.com/cdn/shop/files/iustts-1015_1_165x.jpg?v=1758379208,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-1017,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-1017,https://www.gulahmedshop.com/cdn/shop/files/iustts-1017_2_165x.jpg?v=1758379196,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-1022,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-1022,https://www.gulahmedshop.com/cdn/shop/files/iustts-1022_2_165x.jpg?v=1758379202,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-990,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-990,https://www.gulahmedshop.com/cdn/shop/files/iustts-990_4_165x.jpg?v=1758379195,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-997,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-997,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-808,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-808,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-832,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-832,N/A,GulAhmed
women,Lawn Printed Co-Ord Set IUSTTS-1004,"Rs.4,990",,"Rs.4,990",0,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/lawn-printed-co-ord-set-iustts-1004,N/A,GulAhmed
women,Ripple Crinkle Co-Ord Set IUSTTS-881,"Rs.6,392","Rs.7,990","Rs.6,392",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-co-ord-set-iustts-881,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-855,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-855,N/A,GulAhmed
women,3PC Lawn Printed Suit IUSTKSD-840,"Rs.8,394","Rs.13,990","Rs.8,394",-40%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/3pc-lawn-printed-suit-iustksd-840,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-831,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-831,N/A,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-856,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-856,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_printed_co-ord_set_iustts-856_front_165x.jpg?v=1758379204,GulAhmed
women,Ripple Crinkle Printed Co-Ord Set IUSTTS-879,"Rs.6,792","Rs.8,490","Rs.6,792",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-printed-co-ord-set-iustts-879,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_printed_co-ord_set_iustts-879_front_165x.jpg?v=1758379198,GulAhmed
women,Ripple Crinkle Embellished Co-Ord Set IUSTTS-928,"Rs.6,632","Rs.8,290","Rs.6,632",-20%,"X-Small, Small, Medium",https://www.gulahmedshop.com/products/ripple-crinkle-embellished-co-ord-set-iustts-928,https://www.gulahmedshop.com/cdn/shop/files/ripple_crinkle_embellished_co-ord_set_iustts-928_front-2_165x.jpg?v=1758379203,GulAhmed
