product_id,title,brand,category,product_url,image_url,price_clean,original_price_clean,sale_price_clean,discount_clean,is_discounted,price_tier,savings,savings_percentage,discount_level,product_type,primary_color,material_type,fit_type,size_variant,style_type,title_length,has_image,availability
activewear-trousers-mtaw10,Activewear Trousers,Cougar,men,https://www.cougar.com.pk/products/activewear-trousers-mtaw10,https://www.cougar.com.pk/cdn/shop/files/1_0b3cd848-82f2-44b2-89b4-3ae0fe317771.webp?v=1756489698&width=533,2499.0,4999.0,2499.0,0.5,True,Economy (1.5k-2.5k),2500.0,50.01000200040008,50% Off,Pants,Multi-color,Activewear,Regular,Not Specified,Basic,19,True,In Stock
all-over-printed-polo-pe2525,All Over Printed Polo,Cougar,men,https://www.cougar.com.pk/products/all-over-printed-polo-pe2525,https://www.cougar.com.pk/cdn/shop/files/1_5a06fe7a-d905-4322-8486-85533c712a49.webp?v=1756489693&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Printed,21,True,In Stock
all-over-printed-polo-pe2526,All Over Printed Polo,Cougar,men,https://www.cougar.com.pk/products/all-over-printed-polo-pe2526,https://www.cougar.com.pk/cdn/shop/files/1_6106c949-8b64-4df1-8211-b5ce42acfb75.webp?v=1756489690&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Printed,21,True,In Stock
raglan-striper-polo-pe2575,Raglan Striper Polo,Cougar,men,https://www.cougar.com.pk/products/raglan-striper-polo-pe2575,https://www.cougar.com.pk/cdn/shop/files/1_fe7e9e6b-8ef8-4876-8130-f82955900c19.webp?v=1756489679&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Raglan,19,True,In Stock
raglan-striper-polo-pe2576,Raglan Striper Polo,Cougar,men,https://www.cougar.com.pk/products/raglan-striper-polo-pe2576,https://www.cougar.com.pk/cdn/shop/files/1_0c52f61b-4395-43e0-a23a-9b1e12e03ece.webp?v=1756489677&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Raglan,19,True,In Stock
all-over-printed-polo-pe2578,All Over Printed Polo,Cougar,men,https://www.cougar.com.pk/products/all-over-printed-polo-pe2578,https://www.cougar.com.pk/cdn/shop/files/5_a65fa611-ca95-466d-91ea-2e26a28d0319.webp?v=1756489672&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Printed,21,True,In Stock
pique-printed-polo-pe2580,Pique Printed Polo,Cougar,men,https://www.cougar.com.pk/products/pique-printed-polo-pe2580,https://www.cougar.com.pk/cdn/shop/files/1_fdf7cc22-9340-4f72-8d0e-cc5d954f45f3.webp?v=1756489668&width=533,1749.0,3499.0,1749.0,0.5,True,Economy (1.5k-2.5k),1750.0,50.01428979708488,50% Off,Shirts,Multi-color,Pique,Regular,Not Specified,Printed,18,True,In Stock
tipped-polo-pe2582,Tipped Polo,Cougar,men,https://www.cougar.com.pk/products/tipped-polo-pe2582,https://www.cougar.com.pk/cdn/shop/files/5_26b0da4e-eb3c-4539-a106-6a6f8cf42255.webp?v=1756489662&width=533,1499.0,2999.0,1499.0,0.5,True,Budget (<1.5k),1500.0,50.01667222407469,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Tipped,11,True,In Stock
johnny-collar-polo-ple553,Johnny Collar Polo,Cougar,men,https://www.cougar.com.pk/products/johnny-collar-polo-ple553,https://www.cougar.com.pk/cdn/shop/files/2_deea6fac-bdc9-4157-b48d-9e8014170bdc.webp?v=1756489658&width=533,1849.0,3699.0,1849.0,0.0,False,Economy (1.5k-2.5k),1850.0,50.01351716680183,No Discount,Shirts,Multi-color,Mixed,Regular,Not Specified,Johnny Collar,18,True,Sold Out
accent-collar-polo-ple558,Accent Collar Polo,Cougar,men,https://www.cougar.com.pk/products/accent-collar-polo-ple558,https://www.cougar.com.pk/cdn/shop/files/2_febb7eda-d394-4adc-aa36-9f4be1f56b3b.webp?v=1756489645&width=533,1649.0,3299.0,1649.0,0.5,True,Economy (1.5k-2.5k),1650.0,50.01515610791149,50% Off,Shirts,Multi-color,Mixed,Regular,Not Specified,Accent Collar,18,True,In Stock
relaxed-crew-neck-rte502,Relaxed Crew Neck,Cougar,men,https://www.cougar.com.pk/products/relaxed-crew-neck-rte502,https://www.cougar.com.pk/cdn/shop/files/1_d296cfab-f542-469f-a1c3-80703363f9c7.webp?v=1756489641&width=533,1499.0,2999.0,1499.0,0.5,True,Budget (<1.5k),1500.0,50.01667222407469,50% Off,Other,Multi-color,Mixed,Relaxed,Not Specified,Crew Neck,17,True,In Stock
relaxed-crew-neck-rte503,Relaxed Crew Neck,Cougar,men,https://www.cougar.com.pk/products/relaxed-crew-neck-rte503,https://www.cougar.com.pk/cdn/shop/files/1_f3b3fc67-ab2e-4859-a7f9-9cef19628701.webp?v=1756489638&width=533,1499.0,2999.0,1499.0,0.5,True,Budget (<1.5k),1500.0,50.01667222407469,50% Off,Other,Multi-color,Mixed,Relaxed,Not Specified,Crew Neck,17,True,In Stock
interlock-t-shirt-rte504,Interlock T-Shirt,Cougar,men,https://www.cougar.com.pk/products/interlock-t-shirt-rte504,https://www.cougar.com.pk/cdn/shop/files/1_b0c94809-d4c5-4d52-b28a-e5740c6619d8.webp?v=1756548736&width=533,1349.0,2699.0,1349.0,0.5,True,Budget (<1.5k),1350.0,50.01852537977028,50% Off,Shirts,Multi-color,Interlock,Regular,Not Specified,Basic,17,True,In Stock
ottoman-relaxed-t-shirt-rte505,Ottoman Relaxed T-Shirt,Cougar,men,https://www.cougar.com.pk/products/ottoman-relaxed-t-shirt-rte505,https://www.cougar.com.pk/cdn/shop/files/1_e321fbe5-1631-4eb5-b9e2-6b7910ec7998.webp?v=1756548728&width=533,1499.0,2999.0,1499.0,0.5,True,Budget (<1.5k),1500.0,50.01667222407469,50% Off,Shirts,Multi-color,Ottoman,Relaxed,Not Specified,Basic,23,True,In Stock
mini-ottoman-knit-t-shirt-rte506,Mini Ottoman Knit T-Shirt,Cougar,men,https://www.cougar.com.pk/products/mini-ottoman-knit-t-shirt-rte506,https://www.cougar.com.pk/cdn/shop/files/1_72b76168-0d16-438e-b82e-7d187f8ab948.webp?v=1756489630&width=533,1499.0,2999.0,1499.0,0.5,True,Budget (<1.5k),1500.0,50.01667222407469,50% Off,Shirts,Multi-color,Knit,Regular,Not Specified,Basic,25,True,In Stock
interlock-t-shirt-rte507,Interlock T-Shirt,Cougar,men,https://www.cougar.com.pk/products/interlock-t-shirt-rte507,https://www.cougar.com.pk/cdn/shop/files/5_6ecb0f71-012a-44bb-9221-336e95dd8be3.webp?v=1756489628&width=533,1349.0,2699.0,1349.0,0.5,True,Budget (<1.5k),1350.0,50.01852537977028,50% Off,Shirts,Multi-color,Interlock,Regular,Not Specified,Basic,17,True,In Stock
